gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,Overall_avg ,status,salary
M,67,Others,91,Others,2,58,2,No,55,1,58.8,65.96,Placed,270000
M,79.33,Central,78.33,Others,3,77.48,2,Yes,86.5,2,66.28,77.584,Placed,200000
M,65,Central,68,Central,1,64,1,No,75,2,57.8,65.96,Placed,250000
M,56,Central,52,Central,3,52,2,No,66,1,59.43,57.086,Not Placed,
M,85.8,Central,73.6,Central,2,73.3,1,No,96.8,2,55.5,77,Placed,425000
M,55,Others,49.8,Others,3,67.25,2,Yes,55,2,51.58,55.726,Not Placed,
F,46,Others,49.2,Others,2,79,1,No,74.28,2,53.29,60.354,Not Placed,
M,82,Central,64,Central,3,66,2,Yes,67,2,62.14,68.228,Placed,252000
M,73,Central,79,Central,2,72,1,No,91.34,2,61.29,75.326,Placed,231000
M,58,Central,70,Central,2,61,1,No,54,2,52.21,59.042,Not Placed,
M,58,Central,61,Central,2,60,1,Yes,62,1,60.85,60.37,Placed,260000
M,69.6,Central,68.4,Central,2,78.3,1,Yes,60,2,63.7,68,Placed,250000
F,47,Central,55,Others,3,65,1,No,62,1,65.04,58.808,Not Placed,
F,77,Central,87,Central,2,59,1,No,68,2,68.63,71.926,Placed,218000
M,62,Central,47,Central,2,50,1,No,76,1,54.96,57.992,Not Placed,
F,65,Central,75,Central,2,69,1,Yes,72,2,64.66,69.132,Placed,200000
M,63,Central,66.2,Central,2,65.6,1,Yes,60,2,62.54,63.468,Placed,300000
F,55,Central,67,Central,2,64,1,No,60,2,67.28,62.656,Not Placed,
F,63,Central,66,Central,2,64,1,No,68,1,64.08,65.016,Not Placed,
M,60,Others,67,Others,1,70,1,Yes,50.48,2,77.89,65.074,Placed,236000
M,62,Others,65,Others,2,66,1,No,50,1,56.7,59.94,Placed,265000
F,79,Others,76,Others,2,85,1,No,95,2,69.06,80.812,Placed,393000
F,69.8,Others,60.8,Others,3,72.23,2,No,55.53,1,68.81,65.434,Placed,360000
F,77.4,Others,60,Others,3,64.74,2,Yes,92,2,63.62,71.552,Placed,300000
M,76.5,Others,97.7,Others,3,78.86,2,No,97.4,2,74.01,84.894,Placed,360000
F,52.58,Others,54.6,Central,2,50.2,1,Yes,76,2,65.33,59.742,Not Placed,
M,71,Others,79,Others,2,66,1,Yes,94,2,57.55,73.51,Placed,240000
M,63,Others,67,Others,2,66,1,No,68,1,57.69,64.338,Placed,265000
M,76.76,Others,76.5,Others,2,67.5,1,Yes,73.35,2,64.15,71.652,Placed,350000
M,62,Central,67,Central,2,58,1,No,77,2,51.29,63.058,Not Placed,
F,64,Central,73.5,Central,2,73,1,No,52,1,56.7,63.84,Placed,250000
F,67,Central,53,Central,3,65,2,No,64,1,58.32,61.464,Not Placed,
F,61,Central,81,Central,2,66.4,1,No,50.89,1,62.21,64.3,Placed,278000
F,87,Others,65,Others,3,81,1,Yes,88,2,72.78,78.756,Placed,260000
M,62,Others,51,Others,3,52,3,No,68.44,1,62.77,59.242,Not Placed,
F,69,Central,78,Central,2,72,1,No,71,1,62.74,70.548,Placed,300000
M,51,Central,44,Central,2,57,1,No,64,2,51.45,53.49,Not Placed,
F,79,Central,76,Central,3,65.6,2,No,58,1,55.47,66.814,Placed,320000
F,73,Others,58,Others,3,66,1,No,53.7,1,56.86,61.512,Placed,240000
M,81,Others,68,Others,3,64,2,No,93,2,62.56,73.712,Placed,411000
F,78,Central,77,Others,2,80,1,No,60,2,66.72,72.344,Placed,287000
F,74,Others,63.16,Others,2,65,1,Yes,65,1,69.76,67.384,Not Placed,
M,49,Others,39,Central,3,65,3,No,63,2,51.21,53.442,Not Placed,
M,87,Others,87,Others,2,68,1,No,95,1,62.9,79.98,Placed,300000
F,77,Others,73,Others,2,81,1,Yes,89,2,69.7,77.94,Placed,200000
F,76,Central,64,Central,3,72,2,No,58,1,66.53,67.306,Not Placed,
F,70.89,Others,71.98,Others,3,65.6,1,No,68,1,71.63,69.62,Not Placed,
M,63,Central,60,Central,2,57,1,Yes,78,2,54.55,62.51,Placed,204000
M,63,Others,62,Others,2,68,1,No,64,2,62.46,63.892,Placed,250000
F,50,Others,37,Others,1,52,3,No,65,1,56.11,52.022,Not Placed,
F,75.2,Central,73.2,Central,3,68.4,1,No,65,1,62.98,68.956,Placed,200000
M,54.4,Central,61.12,Central,2,56.2,1,No,67,1,62.65,60.274,Not Placed,
F,40.89,Others,45.83,Others,2,53,1,No,71.2,1,65.49,55.282,Not Placed,
M,80,Others,70,Others,3,72,2,No,87,1,71.04,76.008,Placed,450000
F,74,Central,60,Others,3,69,1,No,78,1,65.56,69.312,Placed,216000
M,60.4,Central,66.6,Others,3,65,1,No,71,1,52.71,63.142,Placed,220000
M,63,Others,71.4,Others,2,61.4,1,No,68,2,66.88,66.136,Placed,240000
M,68,Central,76,Central,2,74,1,No,80,2,63.59,72.318,Placed,360000
M,74,Central,62,Others,3,68,1,No,74,2,57.99,67.198,Placed,268000
M,52.6,Central,65.58,Others,3,72.11,2,No,57.6,2,56.66,60.91,Placed,265000
M,74,Central,70,Central,3,72,1,Yes,60,2,57.24,66.648,Placed,260000
M,84.2,Central,73.4,Central,2,66.89,1,No,61.6,2,62.48,69.714,Placed,300000
F,86.5,Others,64.2,Others,3,67.4,2,No,59,2,59.69,67.358,Placed,240000
M,61,Others,70,Others,2,64,1,No,68.5,1,59.5,64.6,Not Placed,
M,80,Others,73,Others,2,75,1,No,61,2,58.78,69.556,Placed,240000
M,54,Others,47,Others,3,57,1,No,89.69,1,57.1,60.958,Not Placed,
M,83,Others,74,Others,3,66,1,No,68.92,1,58.46,70.076,Placed,275000
M,80.92,Others,78.5,Others,2,67,1,No,68.71,2,60.99,71.224,Placed,275000
F,69.7,Central,47,Central,2,72.7,2,No,79,1,59.24,65.528,Not Placed,
M,73,Central,73,Central,3,66,2,Yes,70,2,68.07,70.014,Placed,275000
M,82,Others,61,Others,3,62,2,No,89,2,65.45,71.89,Placed,360000
M,75,Others,70.29,Others,2,71,1,No,95,2,66.94,75.646,Placed,240000
M,84.86,Others,67,Others,3,78,1,No,95.5,2,68.53,78.778,Placed,240000
M,64.6,Central,83.83,Others,2,71.72,1,No,86,2,59.75,73.18,Placed,218000
M,56.6,Central,64.8,Central,2,70.2,1,No,84.27,2,67.2,68.614,Placed,336000
F,59,Central,62,Others,2,77.5,1,No,74,1,67,67.9,Not Placed,
F,66.5,Others,70.4,Central,1,71.93,1,No,61,2,64.27,66.82,Placed,230000
M,64,Others,80,Others,3,65,2,Yes,69,2,57.65,67.13,Placed,500000
M,84,Others,90.9,Others,3,64.5,2,No,86.04,2,59.42,76.972,Placed,270000
F,69,Central,62,Central,3,66,2,No,75,1,67.99,67.998,Not Placed,
F,69,Others,62,Others,2,69,1,Yes,67,1,62.35,65.87,Placed,240000
M,81.7,Others,63,Others,3,67,1,Yes,86,2,70.2,73.58,Placed,300000
M,63,Central,67,Central,2,74,1,No,82,2,60.44,69.288,Not Placed,
M,84,Others,79,Others,3,68,2,Yes,84,2,66.69,76.338,Placed,300000
M,70,Central,63,Others,3,70,2,Yes,55,2,62,64,Placed,300000
F,83.84,Others,89.83,Others,2,77.2,1,Yes,78.74,2,76.18,81.158,Placed,400000
